company_name,company_industry,employee_count_range,city,platform
"Eagle Foods, LLC",Industrial Machinery Manufacturing,51-200,Cleveland,icims
Pennsylvania College of Technology,Higher Education,1001-5000,Williamsport,icims
Endeavor Air,Airlines and Aviation,1001-5000,Minneapolis,icims
Ketchum,Public Relations and Communications Services,1001-5000,New York City,icims
"The Cadmus Group, Inc.",Business Consulting and Services,501-1000,Waltham,icims
Paramount Residential Mortgage Group,Financial Services,1001-5000,Johns Creek,icims
Sealaska Corporation,Environmental Services,1001-5000,Juneau,icims
Oriental Trading Company,Wholesale,1001-5000,Omaha,icims
Celanese International Corporation,Manufacturing,"5001-10,000",Irving,icims
Brentwood Springs,Hospitals and Health Care,1001-5000,Louisville,icims
Treliant,Business Consulting and Services,201-500,Washington,icims
"Gates, Hudson & Associates",Real Estate,501-1000,Fairfax,icims
Prolifics,IT Services and IT Consulting,"5001-10,000",Orlando,icims
La Quinta Resort & Club,Hospitality,201-500,La Quinta,icims
"Mythics, LLC",IT Services and IT Consulting,201-500,Virginia Beach,icims
ATCC,Biotechnology Research,501-1000,Manassas,icims
Trumpet Behavioral Health,Hospitals and Health Care,501-1000,Lakewood,icims
Anti-Defamation League,Non-profit Organizations,501-1000,New York,icims
SilverEdge,Software Development,51-200,Loveland,icims
Electric Power Systems,Utilities,501-1000,Maryland Heights,icims
Rug Doctor,Manufacturing,201-500,Plano,icims
Friendship Public Charter School,Education Administration Programs,1001-5000,Washington,icims
Arizona College of Nursing,Higher Education,501-1000,Phoenix,icims
"Vytalogy Wellness, LLC",Medical Equipment Manufacturing,501-1000,Los Angeles,icims
Argon Medical Devices,Medical Equipment Manufacturing,501-1000,Plano,icims
Bruker Daltonics,Biotechnology Research,501-1000,Billerica,icims
Quartz Health Solutions,Hospitals and Health Care,501-1000,Fitchburg,icims
Bruno Independent Living Aids,Manufacturing,201-500,Oconomowoc,icims
Synchronoss Technologies,Telecommunications,1001-5000,Bridgewater,icims
Park Dental,Dentists,501-1000,Minneapolis/St. Paul,icims
Miller's Ale House,Restaurants,"5001-10,000",Orlando,icims
Resia,Real Estate,201-500,Miami,icims
UMass Chan Medical School,Higher Education,1001-5000,Worcester,icims
Council on Foreign Relations,Think Tanks,201-500,New York,icims
Active International,Advertising Services,501-1000,Pearl River,icims
Texas AirSystems,Industrial Machinery Manufacturing,201-500,Irving,icims
