company_name,company_industry,employee_count_range,city,platform
SDI Presence,IT Services and IT Consulting,201-500,Chicago,jobvite
Weston Solutions,Construction,1001-5000,Houghton,jobvite
Insurity,Software Development,1001-5000,Hartford,jobvite
Healthmap Solutions,Hospitals and Health Care,201-500,Tampa,jobvite
Point of Rental Software,Software Development,201-500,Fort Worth,jobvite
Shift Digital,IT Services and IT Consulting,501-1000,Birmingham,jobvite
Colony Hardware,Construction,1001-5000,Orange,jobvite
Synergy,Real Estate,501-1000,Boston,jobvite
Mac Properties,Real Estate,201-500,Chicago,jobvite
Fashionphile,Retail Apparel and Fashion,201-500,Carlsbad,jobvite
Hackbarth Delivery Service,"Transportation, Logistics, Supply Chain and Storage",51-200,Mobile,jobvite
Seaboard Marine,Maritime Transportation,1001-5000,Miami,jobvite
iSoftStone,IT Services and IT Consulting,"5001-10,000",Bellevue,jobvite
Benchmark Mortgage,Financial Services,501-1000,Plano,jobvite
Menlo School,Education Administration Programs,201-500,Atherton,jobvite
Torrance Memorial,Hospitals and Health Care,1001-5000,Torrance,jobvite
AYR Wellness Inc.,Manufacturing,501-1000,New York,jobvite
Granite Recovery Centers,Mental Health Care,201-500,Salem,jobvite
New York Road Runners,Spectator Sports,201-500,New York,jobvite
Reveal-Brainspace,IT Services and IT Consulting,201-500,Chicago,jobvite
Noble Schools,Primary and Secondary Education,1001-5000,Chicago,jobvite
Riverstone Communities,Real Estate,51-200,Bloomfield Hills,jobvite
The Pasha Group,Truck Transportation,1001-5000,San Rafael,jobvite
PeopleConnect Staffing,Staffing and Recruiting,11-50,San Francisco,jobvite
Laborie,Medical Equipment Manufacturing,501-1000,Portsmouth,jobvite
Panasonic Automotive North America,"Appliances, Electrical, and Electronics Manufacturing",,Peachtree City,jobvite
ChildServe,Hospitals and Health Care,1001-5000,Johnston,jobvite
"Clarity Innovations, LLC",IT Services and IT Consulting,51-200,Columbia,jobvite
Aspire Public Schools,Primary and Secondary Education,1001-5000,Oakland,jobvite
Egnyte,Software Development,1001-5000,Mountain View,jobvite
ActioNet,IT Services and IT Consulting,1001-5000,Vienna,jobvite
Mativ,Manufacturing,"5001-10,000",ALPHARETTA,jobvite
Worldwide Express,Freight and Package Transportation,1001-5000,Dallas,jobvite
EPMA,Business Consulting and Services,51-200,Houston,jobvite
Nasuni,IT Services and IT Consulting,501-1000,Boston,jobvite
Trustwave,Computer and Network Security,1001-5000,Chicago,jobvite
The Seattle Mariners Baseball Club,Sports and Recreation Instruction,"10,000+",New York,jobvite
Net at Work,IT Services and IT Consulting,501-1000,New York,jobvite
The Garrett Companies,Real Estate,201-500,Greenwood,jobvite
"Visionist, Inc.",Defense and Space Manufacturing,51-200,Columbia,jobvite
Traffic Tech Inc.,IT Services and IT Consulting,1001-5000,Chicago,jobvite
Altamira Technologies Corp.,IT Services and IT Consulting,201-500,McLean,jobvite
Woodruff Sawyer,Insurance,501-1000,San Francisco,jobvite
PROBABLYMONSTERS,Entertainment Providers,201-500,Bellevue,jobvite
Family Care Center,Mental Health Care,201-500,Lone Tree,jobvite
Marvel Marketers,Business Consulting and Services,51-200,San Mateo,jobvite
Lamps Plus,Retail,1001-5000,Los Angeles,jobvite
"RIVA Solutions, Inc.",IT Services and IT Consulting,201-500,McLean,jobvite
American First Finance,Financial Services,201-500,Coppell,jobvite
MULTIVAC USA,Machinery Manufacturing,201-500,Kansas City,jobvite
Wellspring Lutheran Services,Non-profit Organizations,1001-5000,Saginaw,jobvite
"Winterwood, Inc",Real Estate,201-500,Lexington,jobvite
Abrigo,Financial Services,51-200,Austin,jobvite
Jungle Boys Florida,Alternative Medicine,51-200,Ocala,jobvite
Vista Higher Learning,Book and Periodical Publishing,201-500,Boston,jobvite
Avaap,IT Services and IT Consulting,201-500,Columbus,jobvite
Tocaya Modern Mexican,Restaurants,51-200,West Hollywood,jobvite
Knape & Vogt,Manufacturing,501-1000,Grand Rapids,jobvite
The RiverStone Group,Insurance,201-500,Manchester,jobvite
Ezra,Hospitals and Health Care,"10,000+",New York,jobvite
SES Space & Defense,Defense and Space Manufacturing,201-500,Reston,jobvite
Virtual Business Partners,Business Consulting and Services,51-200,Joliet,jobvite
AliveCor,Wellness and Fitness Services,51-200,Mountain View,jobvite
Match Education,Education Administration Programs,201-500,Boston,jobvite
AMEND Consulting,Business Consulting and Services,51-200,Cincinnati,jobvite
"Electromed, Inc.",Medical Equipment Manufacturing,201-500,New Prague,jobvite
Precoa,Advertising Services,201-500,Portland,jobvite
CCS Fundraising,Business Consulting and Services,501-1000,New York,jobvite
